Correlativo,Fecha,ID,Categoría,Edad,Talla,IMC,PesoActual_Kg,MA_Per,MA_Kg,MO_kg,MM_Per,MM_Kg,IMO,Sum6Pliegues,Observaciones,TallaSentado,Biacromial,T_delTorax,AntPost_delTorax,Biiliocristal,Humero,Femur,Cabeza,Brazo_Relajado,Brazo_Flexionado,Antebrazo,Torax,Cintura,Cadera,Muslo1cm_Gluteo,MusloMedio,Pierna,Triceps,Subescapular,Supraespinal,Abdominal,Muslo,Pantorrilla,Fecha_registro,Nro_Evaluacion,MG_Per
213,2023-03-06,10000034,Sub-13,12.7,155.0,17.5650364203954,42.2,31.1850177677934,13.1600774980088,5.69754575652544,37.2013778925625,15.6989814706614,2.75539366273298,58.7,,83.5,32.4,23.8,17.1,24.9,6.2,9.2,53.3,19.5,22.0,18.0,75.5,63.3,76.0,48.0,41.0,29.0,8.5,7.0,7.4,14.9,11.2,9.7,2023-10-19 19:58:19.247,2,
214,2023-03-06,10000052,Sub-13,12.8,169.5,23.3899809434307,67.2,24.457247999647,16.4352706557628,7.95828250611809,45.99975779124,30.9118372357133,3.88423472174419,57.0,,93.0,35.8,26.3,18.4,25.3,7.6,10.6,55.3,27.5,28.4,25.1,87.0,76.2,91.7,54.5,51.2,37.0,11.2,7.8,6.4,11.7,12.1,7.8,2023-10-19 19:58:19.247,2,
215,2023-03-08,10000025,Sub-14,13.8,172.9,23.3488468245401,69.8,27.7649924889832,19.3799647573103,8.70795396631659,41.9798656820245,29.3019462460531,3.36496338398165,77.6,,97.1,39.4,29.5,20.5,27.9,7.2,10.3,57.5,27.7,28.7,25.4,88.8,80.0,97.4,56.9,55.2,36.9,12.1,10.3,11.5,19.1,12.1,12.5,2023-10-19 19:58:19.247,2,
216,2023-03-08,10000128,Sub-14,13.9,160.6,20.5099494579015,52.9,23.4287898885117,12.3938298510227,6.71863898540184,45.6472358975275,24.147387789792,3.59408919607961,45.5,,89.1,35.1,25.5,18.2,25.7,6.6,9.2,54.5,24.2,24.8,22.5,81.0,68.7,86.2,52.2,49.7,32.2,7.6,7.8,5.3,10.7,8.2,5.9,2023-10-19 19:58:19.247,2,
217,2023-03-08,10000185,Sub-14,14.0,171.1,19.5045569271749,57.1,25.9987695537878,14.8452974152128,7.89061150150447,43.3482637885384,24.7518586232554,3.13687457791276,53.8,,91.0,39.2,28.0,18.7,28.0,7.2,10.1,52.0,25.0,26.1,24.0,86.0,69.3,88.9,52.4,48.0,31.6,6.8,8.6,9.4,14.9,8.2,5.9,2023-10-19 19:58:19.247,2,
218,2023-03-08,10000011,Sub-14,13.8,160.0,21.875,56.0,23.3781440500503,13.0917606680282,6.49887847818975,46.0306921790161,25.777187620249,3.96640554316522,53.4,,89.7,34.0,27.5,19.5,26.1,6.6,9.4,54.8,25.5,27.3,23.4,83.1,73.0,87.0,54.1,51.6,33.9,8.5,8.6,7.4,12.8,9.2,6.9,2023-10-19 19:58:19.247,2,
219,2023-03-08,10000133,Sub-14,14.0,164.5,24.0574274073595,65.1,26.5551674516488,17.2874140110234,7.99933403427217,44.4981570081263,28.9683002122902,3.62133898749309,75.9,,92.4,38.2,28.4,19.1,26.8,6.9,10.3,55.1,28.9,29.0,23.2,87.5,75.5,95.1,56.2,55.0,37.4,13.9,9.5,10.4,21.2,12.1,8.8,2023-10-19 19:58:19.247,2,
220,2023-03-08,10000096,Sub-14,14.1,171.3,19.4590387234871,57.1,25.6031047563165,14.6193728158567,7.90675354565644,43.1109598085287,24.6163580506699,3.11333316620104,46.8,,93.7,36.6,27.1,16.3,27.7,7.4,10.0,53.7,24.2,26.0,23.0,82.0,69.7,86.1,52.0,48.8,34.0,7.6,6.2,6.4,9.6,9.2,7.8,2023-10-19 19:58:19.247,2,
221,2023-03-08,10000199,Sub-14,13.8,168.4,25.1070576221077,71.2,23.9283738576017,17.0370021866124,8.49713971521584,47.5234000437154,33.8366608311254,3.98212362808793,71.4,,92.7,38.8,28.2,20.5,28.5,7.1,10.5,55.5,31.0,31.1,26.0,93.0,80.0,96.9,59.0,55.8,37.0,8.5,10.3,13.5,20.2,9.2,9.7,2023-10-19 19:58:19.247,2,
222,2023-03-08,10000170,Sub-14,14.1,159.1,20.8194981118256,52.7,22.4079424067326,11.8089856483481,6.66694151893362,47.5858482140209,25.077742008789,3.76150622254149,46.8,,89.4,35.7,26.0,17.4,25.0,6.6,9.5,55.1,25.7,26.7,24.9,81.7,68.6,85.1,49.5,48.5,35.3,7.6,7.8,8.4,10.7,8.2,4.1,2023-10-19 19:58:19.247,2,
223,2023-03-08,10000201,Sub-14,13.9,169.4,20.5949465367733,59.1,29.3276020634077,17.3326128194739,6.84240249159941,41.8615397142261,24.7401699711076,3.61571392525969,71.0,,91.5,35.5,27.0,18.1,26.7,6.7,10.3,54.1,26.2,26.4,23.4,84.0,74.2,88.7,55.4,51.5,33.7,11.2,9.5,12.5,16.0,12.1,9.7,2023-10-19 19:58:19.247,2,
224,2023-03-08,10000174,Sub-14,13.8,173.8,20.8564796116325,63.0,23.1719412650395,14.5983229969749,8.40694495692027,45.4014044911795,28.6028848294431,3.40229238754541,47.3,,94.6,39.5,28.5,17.4,27.5,7.3,10.0,55.8,26.6,27.5,24.1,86.2,76.0,87.1,54.9,52.7,36.0,8.5,8.6,7.4,9.6,7.3,5.9,2023-10-19 19:58:19.247,2,
225,2023-03-08,10000084,Sub-14,13.5,181.0,20.1153810933732,65.9,26.5900365613014,17.5228340938976,9.12136360625729,42.2377201433062,27.8346575744388,3.05158951840755,47.7,,96.3,40.1,27.4,17.4,27.1,7.1,10.1,58.0,23.7,25.7,23.7,84.8,73.0,89.5,53.3,54.2,36.2,7.6,7.8,5.3,12.8,9.2,5.0,2023-10-19 19:58:19.247,2,
226,2023-03-08,10000013,Sub-14,14.2,167.1,20.7360324556512,57.9,24.6039326824515,14.2456770231394,6.92554789288647,45.2115052988378,26.1774615680271,3.77983980082141,45.4,,91.5,37.2,25.3,19.4,23.6,6.7,9.4,54.4,23.2,26.2,23.1,81.5,68.4,87.0,52.0,49.0,35.7,7.6,7.8,5.3,8.6,9.2,6.9,2023-10-19 19:58:19.247,1,
227,2023-03-08,10000009,Sub-14,14.1,175.0,19.7877551020408,60.6,24.1002158048461,14.6047307777367,8.40856106040332,43.418871213125,26.3118359551537,3.12917225267692,43.6,,92.0,39.4,28.4,19.5,27.8,6.3,10.4,56.3,24.5,26.6,23.6,87.0,72.0,90.4,50.4,50.0,34.5,7.6,7.0,5.3,9.6,8.2,5.9,2023-10-19 19:58:19.247,2,
228,2023-03-08,10000120,Sub-14,14.0,168.4,23.6612860455538,67.1,25.7706034491414,17.2920749143739,8.48655668576355,44.3165374506643,29.7363966293958,3.503941319249,65.8,,94.5,39.7,28.0,19.6,27.7,6.8,9.8,54.5,27.5,29.0,24.0,86.1,75.6,95.5,56.6,54.3,34.4,8.5,8.6,12.5,19.1,10.2,6.9,2023-10-19 19:58:19.247,2,
229,2023-03-08,10000092,Sub-14,14.0,175.0,21.6163265306122,66.2,25.7927615534351,17.074808148374,8.19429506657568,45.0071911727782,29.7947605563791,3.63603706167614,60.4,,92.7,37.5,29.8,19.0,27.5,7.1,11.1,55.1,25.5,26.9,24.7,93.2,73.6,95.1,55.3,51.5,34.5,9.4,8.6,7.4,16.0,11.2,7.8,2023-10-19 19:58:19.247,2,
230,2023-03-08,10000113,Sub-14,14.2,159.0,21.5181361496776,54.4,19.3365261754627,10.5190702394517,7.14548609041347,48.8090909527484,26.5521454782951,3.71593270805159,39.0,,90.0,37.0,28.2,17.2,25.6,7.0,9.8,53.8,25.1,27.4,23.9,85.6,72.0,84.5,53.0,49.5,33.6,5.9,7.8,7.4,7.5,6.3,4.1,2023-10-19 19:58:19.247,2,
231,2023-03-08,10000090,Sub-14,13.4,169.1,16.6813488181946,47.7,29.5845224886957,14.1118172271078,5.54772486340878,39.9223960972523,19.0429829383894,3.43257522808881,43.7,,87.0,33.7,26.0,17.3,24.3,6.5,9.1,53.2,22.0,23.2,21.4,77.7,63.4,78.0,47.0,45.2,31.0,8.5,6.2,5.3,8.6,9.2,5.9,2023-10-19 19:58:19.247,2,
232,2023-03-08,10000124,Sub-14,14.1,174.0,21.6673272559123,65.6,21.4804840864936,14.0911975607398,8.49264638711295,47.1279915979204,30.9159624882358,3.64032141208055,41.0,,92.0,37.5,28.2,17.9,28.7,7.4,10.1,54.7,27.2,29.2,25.0,86.9,76.9,92.2,53.7,50.2,36.4,5.9,7.0,5.3,9.6,8.2,5.0,2023-10-19 19:58:19.247,2,
233,2023-03-08,10000069,Sub-14,14.2,165.6,21.8062265163714,59.8,23.6097681449234,14.1186413506642,8.01056444116316,45.0189432743112,26.9213280780381,3.36072798312438,52.4,,92.3,38.5,28.0,17.8,25.8,6.8,10.1,56.5,25.7,28.9,25.0,83.8,73.1,88.5,52.7,49.9,34.8,7.6,8.6,9.4,11.7,9.2,5.9,2023-10-19 19:58:19.247,2,
234,2023-03-08,10000091,Sub-14,13.9,172.7,21.827113835272,65.1,23.5412714066313,15.325367685717,8.28773821242604,45.3312544159324,29.510646624772,3.56075998883819,47.8,,96.0,37.4,28.0,18.7,27.5,7.2,10.0,55.6,24.0,26.0,24.2,87.3,74.9,91.6,54.0,49.9,36.5,7.6,7.0,6.4,10.7,9.2,6.9,2023-10-19 19:58:19.247,2,
235,2023-03-08,10000089,Sub-14,13.9,167.3,23.2588965279219,65.1,20.7167147525586,13.4865813039157,7.35299715338766,49.8226621593382,32.4345530657292,4.41106563611085,48.6,,95.2,26.5,31.5,19.0,36.6,6.6,10.4,55.1,27.3,28.7,25.6,93.8,74.0,90.0,54.9,50.8,37.0,6.8,7.8,7.4,9.6,9.2,7.8,2023-10-19 19:58:19.247,2,
236,2023-03-08,10000064,Sub-14,14.0,172.4,18.0339253126329,53.6,25.3008212937353,13.5612402134421,7.66568569659345,41.2517513321238,22.1109387140183,2.88440455155163,34.9,,94.0,38.5,26.7,16.9,25.2,6.8,9.7,53.4,21.8,23.7,22.0,79.5,67.3,83.2,48.4,46.6,32.3,7.6,6.2,4.3,6.5,5.3,5.0,2023-10-19 19:58:19.247,2,
237,2023-03-08,10000022,Sub-14,13.7,174.6,21.1250326388315,64.4,25.6362399863593,16.5097385512154,9.52001144522081,43.3859648078071,27.9405613362277,2.93492938501186,52.0,,95.9,40.4,26.5,17.5,28.1,7.1,10.6,55.8,26.3,28.9,25.3,83.2,70.5,90.1,53.4,49.9,35.7,8.5,8.6,5.3,11.7,8.2,9.7,2023-10-19 19:58:19.247,2,
238,2023-03-08,10000122,Sub-14,14.0,164.2,21.1782369321748,57.1,24.0124930808947,13.7111335491908,7.38545334680018,45.6407249339885,26.0608539373075,3.52867355781193,54.1,,92.8,37.0,27.4,17.7,26.7,6.9,10.2,53.4,26.1,26.9,23.1,84.2,71.2,89.7,55.0,53.0,34.8,10.3,8.6,7.4,10.7,10.2,6.9,2023-10-19 19:58:19.247,2,
239,2023-03-04,10000057,Sub-17,17.1,179.6,21.3292592794679,68.8,29.3783535966097,20.2123072744674,8.62834358850688,43.078027490854,29.6376829137076,3.43492150140909,68.0,,99.6,40.8,24.4,16.5,28.0,6.9,9.8,55.9,26.2,27.8,23.9,90.4,76.1,96.8,55.9,50.7,36.1,10.8,10.3,8.9,17.0,11.2,9.8,2023-10-19 19:58:19.247,1,
240,2023-03-04,10000125,Sub-17,17.0,172.4,23.0470873864805,68.5,22.0009600714521,15.0706576489447,9.08044764349263,46.3000960022844,31.7155657615648,3.4927315267649,50.0,,92.4,43.0,18.2,31.0,28.5,6.7,9.2,56.0,27.0,29.0,24.0,94.0,78.0,92.3,54.0,53.3,35.8,8.5,10.3,6.4,10.7,8.2,5.9,2023-10-19 19:58:19.247,1,
241,2023-03-09,10000003,Sub-15,14.8,164.4,17.1307889486801,46.3,22.5948403266222,10.4614110712261,6.81007272618087,41.5992061011975,19.2604324248544,2.82822712756194,27.5,,84.1,36.5,26.0,17.9,24.3,6.5,9.3,54.7,20.8,22.7,20.6,79.0,66.6,77.3,43.2,42.0,31.5,5.0,5.4,3.3,4.4,5.3,4.1,2023-10-19 19:58:19.247,2,
242,2023-03-09,10000016,Sub-15,14.9,186.1,19.4899635350001,67.5,26.0823913517864,17.6056141624558,17.514805281949,32.8983095850658,22.2063589699194,1.26786216646129,54.7,,101.3,40.2,29.3,15.1,27.7,24.5,10.2,56.4,25.2,27.7,25.0,85.0,74.3,92.0,51.0,48.5,34.7,10.3,10.3,6.4,10.7,9.2,7.8,2023-10-19 19:58:19.247,2,
243,2023-03-09,10000004,Sub-15,14.4,168.4,20.4171156786522,57.9,23.0573773954876,13.3502215119873,7.25329574443679,46.4889055752769,26.9170763280853,3.71101321061264,47.5,,90.0,40.2,29.4,17.2,25.6,6.7,8.9,55.5,25.3,27.0,22.6,89.0,72.0,88.1,53.5,52.4,34.1,7.6,7.8,7.4,9.6,9.2,5.9,2023-10-19 19:58:19.247,1,
244,2023-03-09,10000041,Sub-15,14.4,163.9,19.3945548577404,52.1,25.093575028277,13.0737525897323,8.08423184760663,50.661999466817,26.3949017222116,3.26498574258802,40.0,,127.8,37.8,28.0,15.9,26.0,6.5,9.7,54.2,24.2,26.5,22.2,81.4,66.4,82.7,51.3,47.7,33.3,6.8,6.2,6.4,6.5,8.2,5.9,2023-10-19 19:58:19.247,2,
245,2023-03-09,10000116,Sub-15,14.3,176.4,19.989099192209,62.2,23.2490546419056,14.4609119872653,7.82297704560053,46.2683235572564,28.7788972526135,3.67876539645455,39.7,,90.1,37.5,27.9,19.3,26.5,7.3,9.7,56.5,26.2,29.5,24.5,86.2,70.2,88.5,52.5,50.0,34.3,7.6,7.8,5.3,8.6,6.3,4.1,2023-10-19 19:58:19.247,2,
246,2023-03-09,10000139,Sub-15,14.5,168.4,21.6160482055506,61.3,22.5863281850251,13.8454191774204,7.88304390921614,47.3477868339802,29.0241933292299,3.68185102905458,43.7,,88.2,38.4,26.4,19.1,26.5,6.8,9.3,55.3,26.3,29.5,23.9,84.1,68.7,86.8,53.4,50.2,35.7,6.8,7.8,5.3,9.6,9.2,5.0,2023-10-19 19:58:19.247,2,
247,2023-03-09,10000189,Sub-15,14.6,173.4,22.4827022877812,67.6,23.1307015939219,15.6363542774912,8.88827590233772,46.7633294718592,31.6120107229768,3.55659647273803,51.8,,93.3,38.3,27.8,19.5,27.1,7.8,10.5,57.2,27.6,29.0,25.0,88.0,73.5,96.1,56.1,53.0,38.2,9.9,7.8,6.4,10.7,8.2,8.8,2023-10-19 19:58:19.247,2,
248,2023-03-10,10000190,Sub-15,14.7,180.5,21.3933287804728,69.7,23.8674969718783,16.6356453893992,9.6121588326075,44.7949042394742,31.2220482549135,3.24818272342716,51.2,,96.7,41.8,29.9,21.4,29.4,7.5,10.1,57.0,26.7,18.2,24.9,95.2,74.2,93.2,54.2,49.0,35.0,9.4,8.6,6.4,10.7,9.2,6.9,2023-10-19 19:58:19.247,2,
249,2023-03-09,10000117,Sub-15,14.8,163.9,21.5164159458233,57.8,23.6605750055765,13.6758123532232,7.62115289393031,44.9442858026436,25.977797193928,3.40864401429571,50.2,,88.1,37.0,25.9,19.1,25.5,7.0,9.8,55.8,25.2,26.2,23.8,83.4,72.2,89.1,51.6,47.0,34.8,8.5,8.6,5.3,11.7,10.2,5.9,2023-10-19 19:58:19.247,2,
250,2023-03-09,10000039,Sub-15,14.8,179.9,19.7132555576395,63.8,27.3029798077465,17.4193011173423,8.24898556194145,41.6640208220641,26.5816452844769,3.22241384529963,52.5,,93.2,38.9,27.4,19.8,30.3,6.0,10.0,54.9,25.4,27.2,23.4,87.0,74.0,90.4,52.2,47.5,34.3,9.4,7.8,7.4,12.8,8.2,6.9,2023-10-19 19:58:19.247,2,
251,2023-03-09,10000161,Sub-15,15.1,172.0,22.5121687398594,66.6,22.7254674748824,15.1351613382717,8.4749242641573,48.546105290165,32.3317061232499,3.81498466717741,50.0,,93.2,39.5,26.5,18.6,27.0,7.0,9.5,58.3,29.2,30.7,24.5,87.0,71.3,93.2,56.0,54.5,39.2,10.3,9.5,5.3,10.7,9.2,5.0,2023-10-19 19:58:19.247,1,
252,2023-03-01,10000142,Sub-15,14.6,176.0,22.2753099173554,69.0,24.8050022957524,17.1154515840692,8.53251676675321,45.358079957629,31.297075170764,3.66797699041301,55.5,,98.2,37.0,27.8,20.6,28.1,7.6,10.4,56.0,28.0,29.2,26.1,86.9,75.2,96.0,55.2,53.1,36.5,7.6,8.6,8.4,13.8,11.2,5.9,2023-10-19 19:58:19.247,2,
253,2023-03-09,10000135,Sub-15,15.2,176.5,21.1862706546076,66.0,24.8669482770332,16.4121858628419,8.82101402032158,44.1446096497219,29.1354423688164,3.30295840157323,52.5,,96.7,40.1,29.8,19.4,29.9,6.6,9.8,55.8,25.4,28.0,24.3,90.1,73.2,91.7,54.2,51.2,34.5,7.6,8.6,7.4,12.8,9.2,6.9,2023-10-19 19:58:19.247,1,
254,2023-03-09,10000047,Sub-15,14.9,175.0,21.2897959183673,65.2,22.1680680529311,14.4535803705111,7.74215075323017,48.8925503586261,31.8779428338242,4.11745312767569,45.6,,85.5,39.1,28.7,18.8,26.6,10.2,7.0,54.3,29.0,35.5,25.1,88.9,74.9,94.0,56.0,53.6,36.1,7.6,8.6,7.4,11.7,5.3,5.0,2023-10-19 19:58:19.247,1,
255,2023-03-09,10000028,Sub-15,14.9,176.0,22.0493285123967,68.3,21.5079113815957,14.6899034736299,8.85956080060939,47.5477157858176,32.4750898817134,3.6655417365023,45.4,,98.0,40.0,28.2,21.1,27.9,7.4,10.4,56.0,26.4,29.7,26.0,88.9,75.6,97.9,57.3,53.7,38.8,7.6,7.8,7.4,7.5,9.2,5.9,2023-10-19 19:58:19.247,2,
256,2023-03-09,10000000,Sub-15,15.1,178.0,20.7675798510289,65.8,29.9220270665083,19.6886938097624,7.97135370736471,41.2571023589003,27.1471733521564,3.40559136487385,70.1,,94.0,37.0,28.4,18.6,29.4,7.2,9.6,56.7,27.0,28.7,25.0,86.7,75.3,94.5,54.0,52.3,34.7,9.4,11.1,10.4,20.2,10.2,8.8,2023-10-19 19:58:19.247,1,
257,2023-03-09,10000168,Sub-15,15.2,180.8,17.2537003680789,56.4,31.8440559251329,17.960047541775,7.79577492115354,36.6590383843491,20.6756976487729,2.65216708510531,52.7,,90.2,37.2,27.0,18.4,28.0,6.9,9.6,57.5,24.0,26.2,22.7,81.5,67.7,88.1,49.0,43.7,31.0,6.8,8.6,8.4,13.8,9.2,5.9,2023-10-19 19:58:19.247,1,
258,2023-01-07,10000107,Sub-18,17.9,176.0,23.308367768595,72.2,22.2960447362782,16.0977442995928,8.76859524791449,48.1696766021476,34.7785065067506,3.96625748178105,51.7,,97.5,38.5,30.9,19.6,30.0,6.7,10.5,55.3,29.0,31.0,25.1,92.4,76.7,96.0,57.7,56.2,35.9,6.6,10.7,10.2,15.3,4.9,4.0,2023-10-19 19:58:19.247,1,
259,2023-03-04,10000107,Sub-18,18.0,176.0,22.7918388429752,70.6,19.4776794165354,13.751241668074,8.61653795970434,50.6101604806384,35.7307732993307,4.14676677180875,40.1,Reducir 1. 2 kg de masa adiposa y aumentar 0.7 kg de masa muscular / APTO,97.5,38.5,30.9,19.6,30.0,6.7,10.5,55.3,28.0,31.3,25.1,94.4,77.4,95.1,58.8,53.8,37.0,4.5,8.6,1.2,14.4,6.9,4.5,2023-10-19 19:58:19.247,2,
260,2023-04-14,10000057,Sub-17,17.2,179.6,21.3602611098159,68.9,27.01,18.609,8.792,44.13,30.404,3.4581,57.8,,94.4,40.8,24.4,16.5,28.0,6.9,9.8,55.9,26.2,27.5,23.7,90.4,76.5,96.0,54.7,52.3,36.1,7.6,9.4,7.0,14.6,10.4,8.8,2023-10-19 19:58:19.247,2,
261,2023-04-14,10000060,Sub-18,17.0,183.2,23.9256974504681,80.3,19.16,15.385,10.05,49.86,40.041,3.9842,38.8,,93.7,42.8,30.8,20.6,30.8,7.2,10.0,54.7,31.3,34.0,27.4,97.3,82.0,96.5,57.3,57.1,37.3,6.2,8.4,5.0,6.8,8.0,4.4,2023-10-19 19:58:19.247,2,
262,2023-04-14,10000055,Sub-18,17.9,174.0,23.6160655304532,71.5,21.76,15.562,8.314,49.09,35.096,4.2213,58.0,,93.8,41.9,30.1,22.4,28.3,7.0,9.9,54.1,30.8,31.8,26.1,95.2,80.0,94.9,61.3,57.2,35.7,8.0,8.8,10.2,17.0,9.0,5.0,2023-10-19 19:58:19.247,3,
263,2023-04-14,10000137,Sub-17,15.3,166.7,21.8792474258598,60.8,18.68,11.356,7.561,50.09,30.455,4.0279,36.6,,87.1,38.9,28.5,17.6,27.1,6.9,9.5,53.9,28.7,30.3,25.2,91.7,78.0,91.6,53.6,49.5,31.9,5.4,6.6,5.2,9.4,6.0,4.0,2023-10-19 19:58:19.247,4,
264,2023-04-14,10000023,Sub-18,17.1,174.8,20.9458079583597,64.0,21.45,13.727,7.76,49.25,31.52,4.0619,39.7,,89.5,41.0,27.2,18.7,24.5,6.6,9.5,57.9,28.0,30.0,25.1,90.1,71.9,88.6,55.2,52.2,33.7,6.0,8.6,4.6,9.2,7.5,3.8,2023-10-19 19:58:19.247,2,
265,2023-04-14,10000172,Sub-18,17.1,175.3,20.826492860906,64.0,21.6,13.824,6.963,49.34,31.579,4.5353,37.0,,93.0,38.6,27.7,17.5,25.0,6.9,8.7,56.0,27.0,28.7,25.0,88.0,73.4,91.1,53.0,51.6,35.8,4.4,7.6,5.2,8.4,6.8,4.6,2023-10-19 19:58:19.247,2,
266,2023-04-14,10000040,Sub-17,17.1,169.5,26.1048894457932,75.0,19.11,14.336,9.188,51.46,38.596,4.2007,47.4,,88.2,40.2,29.3,20.5,27.7,7.0,10.3,56.5,31.2,32.3,26.9,92.1,76.8,96.1,59.2,57.3,40.1,8.2,8.2,7.0,10.2,9.4,4.4,2023-10-19 19:58:19.247,3,
267,2023-04-14,10000130,Sub-18,16.7,190.3,20.4340354817697,74.0,23.23,17.188,8.284,48.6,35.962,4.3411,39.4,,74.3,41.0,30.0,21.6,27.3,6.8,10.0,57.7,28.7,30.8,26.5,96.4,79.0,92.2,53.6,52.2,36.0,6.2,7.4,4.8,9.0,7.0,5.0,2023-10-19 19:58:19.247,2,
268,2023-04-14,10000165,Sub-18,16.8,171.3,25.286526677456,74.2,20.77,15.41,8.406,50.06,37.141,4.4184,54.0,,93.1,37.5,31.0,20.0,29.5,7.3,9.8,55.3,31.0,31.1,26.6,96.5,79.8,95.5,58.1,55.6,36.5,9.4,9.4,7.4,14.8,8.4,4.6,2023-10-19 19:58:19.247,2,
269,2023-04-12,10000078,Sub-17,16.3,174.8,23.8913122025041,73.0,21.89,15.982,9.081,47.49,34.67,3.8179,52.2,,93.3,39.9,29.6,19.5,29.5,7.2,9.8,56.2,29.2,30.7,26.0,93.7,80.5,98.5,55.5,53.2,37.2,7.2,8.8,6.8,13.0,9.2,7.2,2023-10-19 19:58:19.247,3,
270,2023-05-11,10000048,Sub-16,15.9,173.8,18.8701482200484,57.0,23.31,13.289,7.425,46.14,26.299,3.542,33.0,,89.1,37.9,25.9,15.1,23.7,6.9,9.4,58.1,24.2,28.2,23.6,83.3,67.0,82.0,49.5,49.5,33.7,5.2,4.8,3.8,5.6,8.8,4.8,2023-10-19 19:58:19.247,3,
271,2023-05-11,10000179,Sub-16,15.6,189.6,20.0288415318058,72.0,24.38,17.551,10.558,43.32,31.189,2.9541,38.8,,95.6,40.0,27.4,18.8,30.3,7.9,10.7,58.0,26.7,28.7,26.2,87.6,74.0,93.2,52.6,48.6,36.2,6.8,7.4,5.8,7.4,6.6,4.8,2023-10-19 19:58:19.247,3,
272,2023-05-11,10000095,Sub-16,16.1,168.0,19.8767006802721,56.1,19.18,10.761,6.448,50.39,28.269,4.3842,29.7,,89.4,36.9,27.2,17.9,24.8,6.5,9.1,55.2,25.9,29.0,23.8,87.0,71.5,85.6,52.4,44.8,33.5,4.6,5.5,3.2,6.0,6.2,4.2,2023-10-19 19:58:19.247,3,
273,2023-05-11,10000148,Sub-16,16.0,159.3,24.1956235870288,61.4,18.49,11.353,8.171,49.64,30.48,3.7303,40.6,,91.7,37.4,28.0,18.8,28.0,6.7,9.9,54.7,24.9,29.0,24.2,87.5,73.0,91.0,55.0,51.5,37.3,3.0,7.0,6.0,8.8,9.8,6.0,2023-10-19 19:58:19.247,3,
274,2023-05-11,10000144,Sub-16,15.8,186.7,20.7132650101601,72.2,23.82,17.199,8.303,46.48,33.555,4.0413,44.4,,99.1,39.5,29.1,20.1,27.9,6.9,10.2,57.7,26.5,28.7,25.3,91.1,77.0,92.4,56.2,54.8,38.5,7.0,7.4,7.0,9.4,8.0,5.6,2023-10-19 19:58:19.247,3,
275,2023-05-11,10000099,Sub-16,16.1,161.4,22.4952360771379,58.6,17.64,10.334,7.128,51.99,30.465,4.274,33.0,,85.0,37.8,27.7,18.9,25.3,6.3,9.2,56.0,28.0,30.3,25.1,87.3,70.5,90.0,53.2,52.0,35.5,5.0,6.0,4.0,6.0,6.0,6.0,2023-10-19 19:58:19.247,3,
276,2023-05-11,10000171,Sub-16,16.2,178.5,22.62865930686,72.1,22.37,16.129,8.26,47.87,34.511,4.1781,47.0,,98.4,38.9,29.7,19.5,28.7,7.0,9.6,55.1,26.5,30.5,24.5,91.5,77.5,95.6,57.5,53.1,38.5,6.0,5.0,7.0,11.0,8.0,10.0,2023-10-19 19:58:19.247,2,
277,2023-05-11,10000191,Sub-16,16.0,179.2,22.0785335618623,70.9,27.45,19.46,8.166,44.29,31.402,3.8455,60.2,,99.6,36.9,27.5,20.2,28.5,7.0,10.3,54.3,28.4,30.5,24.7,87.5,72.2,95.5,57.0,53.0,34.5,8.2,10.2,8.4,13.8,11.2,8.4,2023-10-19 19:58:19.247,3,
278,2023-05-11,10000145,Sub-16,16.3,168.4,24.6839049655554,70.0,23.53,16.472,8.685,47.02,32.912,3.7895,66.6,,99.6,40.5,28.7,19.8,28.3,7.2,9.8,55.6,29.2,29.2,24.9,91.1,78.2,95.7,59.0,56.8,38.1,8.6,11.6,12.2,17.2,10.6,6.4,2023-10-19 19:58:19.247,2,
279,2023-05-24,10000195,Sub-16,16.0,180.2,21.5570071975767,70.0,23.05,16.132,8.648,41.52,29.065,3.3609,50.8,,97.0,40.0,30.3,38.9,28.8,7.5,10.3,55.2,27.2,29.2,25.1,88.7,77.1,93.4,55.6,51.2,35.7,8.8,8.6,6.2,11.2,10.4,5.6,2023-10-19 19:58:19.247,3,
280,2023-03-10,10000195,Sub-16,15.8,180.2,21.5570071975767,70.0,23.650142864135,16.5551000048945,8.65074580398096,41.167721817369,28.8174052721583,3.33120472212892,53.1,,97.0,40.0,30.3,38.9,28.8,7.5,10.3,55.2,27.1,29.3,25.0,88.9,77.0,93.3,55.5,51.3,35.7,9.4,9.5,6.4,11.7,10.2,5.9,2023-10-19 19:58:19.247,2,
281,2023-05-11,10000118,Sub-16,15.9,181.7,26.4426142264899,87.3,26.21,22.885,8.451,48.34,42.204,4.994,80.6,,93.3,40.9,29.2,21.2,27.2,6.9,10.5,54.6,31.5,33.5,27.6,97.5,82.2,104.2,66.2,61.1,40.8,13.0,11.4,12.4,20.0,12.0,11.8,2023-10-19 19:58:19.247,3,
282,2023-05-11,10000097,Sub-16,16.1,172.7,21.4247707231011,63.9,21.59,13.796,8.001,47.72,30.491,3.8109,42.8,,91.4,39.6,27.1,20.1,27.0,6.9,9.7,55.1,25.2,27.5,23.2,91.0,75.0,93.2,54.3,53.5,36.2,6.2,8.4,6.0,11.2,7.2,3.8,2023-10-19 19:58:19.247,2,
