Correlativo,Fecha,ID,Categoría,Edad,Talla,IMC,PesoActual_Kg,MA_Per,MA_Kg,MO_kg,MM_Per,MM_Kg,IMO,Sum6Pliegues,Observaciones,TallaSentado,Biacromial,T_delTorax,AntPost_delTorax,Biiliocristal,Humero,Femur,Cabeza,Brazo_Relajado,Brazo_Flexionado,Antebrazo,Torax,Cintura,Cadera,Muslo1cm_Gluteo,MusloMedio,Pierna,Triceps,Subescapular,Supraespinal,Abdominal,Muslo,Pantorrilla,Fecha_registro,Nro_Evaluacion,MG_Per
108,2023-01-12,10000162,Sub-15,15.0,169.0,23.8787157312419,68.2,21.5057680186255,14.6669337887026,8.12764438154144,49.4735928732321,33.7409903395443,4.15138615269301,52.8,,96.7,39.5,30.5,19.5,27.4,6.7,9.8,55.5,27.5,29.6,25.5,93.2,72.3,94.4,56.5,55.0,39.5,8.8,9.9,7.8,8.9,11.8,5.6,2023-10-19 19:58:19.247,1,
109,2023-01-09,10000001,Sub-18,17.7,174.5,22.265827045755,67.8,21.2431982152555,14.4028883899432,8.86849100884319,48.1389556682542,32.6382119430763,3.68024412614629,40.9,Requiere aumentar 2.7 kg de masa muscular,94.8,41.2,30.7,16.7,26.1,7.0,10.1,56.0,27.5,29.7,24.5,89.5,72.2,90.4,52.9,52.4,37.5,5.7,7.5,8.4,6.8,6.9,5.6,2023-10-19 19:58:19.247,1,
110,2023-01-09,10000176,Sub-18,17.4,175.5,23.3764336328439,72.0,25.3340102498525,18.2404873798938,8.69878793162771,50.2738995747294,36.1972076938051,4.16117831338279,54.8,,130.4,38.2,28.9,20.5,27.9,6.9,9.8,55.5,28.9,30.1,26.5,89.1,73.6,93.6,56.4,52.6,36.8,9.6,9.5,9.6,12.1,7.9,6.1,2023-10-19 19:58:19.247,1,
111,2023-01-09,10000198,Sub-18,17.8,192.8,21.8982972056266,81.4,25.4800138245133,20.7407312531538,10.7956039498035,45.0771446253306,36.6927957250191,3.39886456520915,52.3,,101.4,43.7,30.1,18.9,30.5,7.2,10.5,58.2,29.8,30.0,26.1,92.3,76.7,98.0,56.6,50.4,38.5,6.6,9.1,11.0,13.1,7.4,5.1,2023-10-19 19:58:19.247,1,
112,2023-01-09,10000023,Sub-18,16.8,174.5,20.4596021379135,62.3,23.7613580333962,14.8033260548059,8.05959254018877,45.4519158432293,28.3165435703319,3.51339641912824,43.1,,91.2,41.0,27.2,18.7,24.5,6.6,9.5,57.9,25.9,28.5,24.5,86.1,70.7,87.0,53.0,48.4,33.0,6.6,8.3,8.4,7.3,6.9,5.6,2023-10-19 19:58:19.247,1,
113,2023-01-09,10000105,Sub-18,17.7,171.2,22.4159861123242,65.7,20.9131539651337,13.7399421550929,7.83448091910418,50.3911908276024,33.1070123737348,4.22580802934935,44.6,,91.4,39.0,28.1,18.9,25.9,7.2,9.8,55.6,29.4,31.5,26.5,89.7,72.3,91.4,56.0,53.0,35.7,7.5,8.3,8.4,9.4,6.4,4.6,2023-10-19 19:58:19.247,1,
114,2023-01-09,10000172,Sub-18,16.8,174.2,20.5630858337475,62.4,24.2376488833132,15.1242929031875,7.28695607770632,45.489257495115,28.3852966769518,3.89535717990583,42.2,,93.5,38.6,27.7,17.5,25.0,6.9,8.7,56.0,25.5,28.2,24.4,83.0,71.9,88.0,51.4,51.0,35.5,5.3,8.7,8.4,7.8,6.4,5.6,2023-10-19 19:58:19.247,1,
115,2023-01-09,10000042,Sub-18,17.6,174.6,24.4709229015036,74.6,19.6000998042532,14.6216744539729,9.57945463431391,50.2176381234789,37.4623580401152,3.9106984134487,45.9,,91.7,41.7,32.5,18.7,29.6,7.2,10.0,56.2,29.7,30.9,27.1,97.2,77.5,94.4,56.7,55.5,37.0,7.5,7.9,9.0,10.0,6.4,5.1,2023-10-19 19:58:19.247,1,
116,2023-01-09,10000043,Sub-17,17.0,183.9,22.4132970580921,75.8,25.5757273033092,19.3864012959084,9.77048623087513,44.9199771317105,34.0493426658365,3.4849179315395,55.2,,91.2,40.5,29.5,18.2,30.5,6.9,10.2,57.0,27.0,29.5,26.0,90.2,74.6,99.4,57.6,54.1,37.7,7.5,9.5,9.6,9.4,9.9,9.3,2023-10-19 19:58:19.247,1,
117,2023-01-09,10000055,Sub-18,17.7,174.0,23.8472717664156,72.2,23.5341759287655,16.9916750205687,8.53508042263405,46.9407488966608,33.8912207033891,3.97081445343075,64.0,,94.8,41.9,30.1,22.4,28.3,7.0,9.9,54.1,30.1,31.3,23.5,96.3,81.1,95.1,58.5,58.6,35.5,10.1,9.5,11.9,20.6,7.9,4.0,2023-10-19 19:58:19.247,1,
